country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
KEN,1995,974000.0,0.276233966112464,55.856,,0.008478944,,22.2647684254021,14.9120512962259,78.2,,26601751,340.064842175429,18.5827604922377,Sub-Saharan Africa,Lower middle income,Kenya
KGZ,1995,,0.993058722919042,65.790243902439,,0.0,8.6400003433,,21.7471978671566,35.0,,4560454,364.250365258345,36.1812142869325,Europe & Central Asia,Lower middle income,Kyrgyz Republic
KHM,1995,220000.0,0.145598400083803,56.562,,0.12912646,,7.32562938505984,25.7111714611086,82.5,,10018497,343.485224671585,17.4962488002108,East Asia & Pacific,Lower middle income,Cambodia
KIR,1995,,0.377408979801878,63.146,,0.0,,,4.70269647903842,59.1,,81234,844.429605862723,36.3333481846524,East Asia & Pacific,Lower middle income,Kiribati
KNA,1995,203000.0,2.99235270802733,67.23,,,6.4,53.1612338656749,10.8168414634997,36.5,,42326,7406.44486096454,33.7463783110243,Latin America & Caribbean,High income,St. Kitts and Nevis
KOR,1995,3753000.0,8.31107138135947,73.7,,3.615707017,4.4000000954,4.6318704631801,21.257302466449,0.4,,45092991,13001.7205867019,78.400437187912,East Asia & Pacific,High income,"Korea, Rep."
KWT,1995,1443000.0,34.0369515183612,75.979756097561,,7.105330886,,2.15965704881163,50.3946583264475,0.1,,1681513,16168.165602374,98.0496205617356,Middle East & North Africa,High income,Kuwait
LAO,1995,346000.0,0.0717993669726416,56.344,,0.031233308,,15.848826577263,38.1841642681236,85.6,,4929409,357.758162193406,17.2790469212159,East Asia & Pacific,Lower middle income,Lao PDR
LBN,1995,450000.0,4.47647123980597,72.383,,3.030578537,,,25.063505082572,4.4,,3960735,2958.74263957462,85.1331347636015,Middle East & North Africa,Lower middle income,Lebanon
LBR,1995,,0.157398520942067,44.573,,0.0,,,15.508350393706,87.0,,2169162,62.1438140627579,44.5277446289062,Sub-Saharan Africa,Low income,Liberia
LBY,1995,1832000.0,9.29939957137066,70.641,,0.0,,0.0532380474647484,22.5189349492579,2.2,,4906843,5205.25706378741,84.2900258432567,Middle East & North Africa,Upper middle income,Libya
LCA,1995,407000.0,2.11973966975871,71.172,,0.656391945,3.3,60.5770919093977,11.8020653904978,29.7,,148208,5147.92024022295,29.1636117100817,Latin America & Caribbean,Upper middle income,St. Lucia
LIE,1995,59000.0,,77.390243902439,,,,,,55.0,,30776,78909.7043377718,16.4400005340576,Europe & Central Asia,High income,Liechtenstein
LKA,1995,414000.0,0.323550767268984,69.746,,0.282303929,,7.94864780180879,31.110552346693,69.9,,17564068,741.838255293455,15.8652068539762,South Asia,Lower middle income,Sri Lanka
